Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,167.100006,182.000000,167.000000,172.800003,152.969620,88793
2000-01-04,175.199997,178.000000,159.199997,162.399994,143.763107,103447
2000-01-05,156.500000,157.500000,148.899994,148.899994,131.812363,131680
2000-01-06,149.000000,155.600006,145.100006,149.000000,131.900879,97233
2000-01-07,152.000000,159.899994,150.000000,158.199997,140.045105,90517
2000-01-10,165.000000,168.899994,163.000000,167.399994,148.189301,87890
2000-01-11,167.399994,172.000000,160.300003,167.699997,148.454895,83465
2000-01-12,160.000000,164.699997,156.000000,158.000000,139.868057,55059
2000-01-13,160.000000,164.000000,154.000000,156.699997,138.717239,63379
2000-01-14,158.000000,160.899994,157.000000,160.000000,141.638550,76498
2000-01-17,161.000000,162.000000,158.500000,158.500000,140.310654,33313
2000-01-18,160.000000,160.000000,152.000000,152.000000,134.556610,81349
2000-01-19,153.899994,153.899994,148.000000,149.000000,131.900879,53884
2000-01-20,150.000000,154.699997,149.000000,154.000000,136.327087,92541
2000-01-21,150.000000,161.000000,147.500000,158.899994,140.664749,135247
2000-01-24,162.500000,166.500000,153.100006,153.199997,135.618896,109486
2000-01-25,148.699997,153.500000,147.699997,148.000000,131.015640,60914
2000-01-26,149.899994,154.699997,149.600006,150.899994,133.582840,64966
2000-01-27,148.899994,148.899994,143.100006,144.500000,127.917328,166840
2000-01-28,145.899994,145.899994,137.300003,139.300003,123.314056,216098
2000-01-31,141.000000,141.500000,137.300003,139.000000,123.048485,100524
2000-02-01,145.000000,145.600006,140.000000,140.100006,124.022240,166561
2000-02-02,143.300003,146.500000,142.100006,143.500000,127.032066,200116
2000-02-03,143.399994,154.800003,143.399994,151.699997,134.291031,176674
2000-02-04,155.800003,159.899994,150.600006,159.899994,141.550003,153697
2000-02-07,160.000000,160.000000,156.000000,159.000000,140.753296,51507
2000-02-08,158.000000,165.000000,155.100006,163.000000,144.294250,166810
2000-02-09,165.600006,170.000000,152.000000,154.000000,136.327087,221892
2000-02-10,150.000000,159.000000,148.699997,159.000000,140.753296,63641
2000-02-11,166.199997,169.199997,162.600006,168.899994,149.517151,143755
2000-02-14,168.000000,170.000000,163.100006,169.899994,150.402374,60620
2000-02-15,169.699997,174.000000,163.000000,163.000000,144.294250,81792
2000-02-16,170.000000,170.000000,155.100006,160.000000,141.638550,55209
2000-02-17,165.000000,165.000000,161.000000,163.000000,144.294250,22502
2000-02-18,162.199997,163.000000,156.100006,156.600006,138.628738,45696
2000-02-21,155.000000,156.000000,151.000000,152.899994,135.353317,36608
2000-02-22,152.699997,159.000000,150.500000,151.500000,134.113983,89591
2000-02-23,155.000000,157.899994,151.000000,151.000000,133.671356,83662
2000-02-24,158.000000,169.000000,155.100006,160.699997,142.258209,113447
2000-02-25,162.000000,170.000000,160.000000,169.800003,150.313889,134050
2000-02-28,170.500000,177.100006,164.000000,167.000000,147.835236,115901
2000-02-29,175.000000,179.000000,170.000000,175.000000,154.917160,149323
2000-03-01,178.000000,182.899994,177.100006,182.699997,161.733505,109239
2000-03-02,183.000000,186.000000,177.600006,181.500000,160.671188,64813
