Date,Open,High,Low,Close,Adj Close,Volume
2015-07-30,1013.380005,1013.380005,1013.380005,1013.380005,1012.462341,1000
2015-07-31,1013.380005,1013.380005,1013.380005,1013.380005,1012.462341,0
2015-08-03,1013.380005,1013.380005,1013.380005,1013.380005,1012.462341,0
2015-08-04,1013.380005,1013.380005,1013.380005,1013.380005,1012.462341,0
2015-08-05,1013.380005,1013.380005,1013.380005,1013.380005,1012.462341,0
2015-08-06,1097.500000,1097.500000,1088.000000,1088.000000,1087.014893,3828
2015-08-07,1088.000000,1088.000000,1088.000000,1088.000000,1087.014893,0
2015-08-10,1103.770020,1103.770020,1103.770020,1103.770020,1102.770508,15
2015-08-11,1103.770020,1103.770020,1103.770020,1103.770020,1102.770508,0
2015-08-12,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,15
2015-08-13,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-14,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-17,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-18,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,3
2015-08-19,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-20,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-21,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-24,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-25,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-26,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-27,1084.609985,1084.609985,1084.609985,1086.500000,1085.516113,3
2015-08-28,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-08-31,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-09-01,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-09-02,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-09-03,1086.500000,1086.500000,1086.500000,1086.500000,1085.516113,0
2015-09-04,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,23
2015-09-07,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-08,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-09,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-10,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-11,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-14,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-15,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-17,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-18,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-21,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-22,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-23,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-24,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-25,1043.000000,1043.000000,1043.000000,1043.000000,1042.055664,0
2015-09-28,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,8362
2015-09-29,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
2015-09-30,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
2015-10-01,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
2015-10-02,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
2015-10-05,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
2015-10-06,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
2015-10-07,1043.109985,1043.109985,1043.109985,1043.109985,1042.165527,0
